Time Range,mmsi,Entry Timestamp,Exit Timestamp,Vessel Presence Hours
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412439608,2024-07-18T00:00:00Z,2024-08-17T21:00:00Z,408
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431200970,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,407
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549358,2024-08-07T06:00:00Z,2024-08-17T23:00:00Z,256
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440368,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,668
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416002747,2024-07-18T00:00:00Z,2024-07-30T08:00:00Z,143
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416002194,2024-07-18T00:00:00Z,2024-08-06T05:00:00Z,462
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416253600,2024-07-22T16:00:00Z,2024-07-28T21:00:00Z,67
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",994162782,2024-08-03T06:00:00Z,2024-08-17T23:00:00Z,243
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431255000,2024-07-18T00:00:00Z,2024-08-13T18:00:00Z,643
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549137,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,574
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412421009,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,601
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431005871,2024-08-15T09:00:00Z,2024-08-16T19:00:00Z,16
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412331054,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,461
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412421146,2024-07-18T00:00:00Z,2024-08-17T16:00:00Z,525
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440681,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,426
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412206008,2024-07-29T22:00:00Z,2024-08-06T04:00:00Z,151
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549366,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,734
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549487,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,742
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549014,2024-07-18T00:00:00Z,2024-08-17T20:00:00Z,386
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412401580,2024-08-03T04:00:00Z,2024-08-06T08:00:00Z,14
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431600610,2024-07-18T02:00:00Z,2024-08-06T23:00:00Z,323
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440687,2024-07-18T00:00:00Z,2024-08-11T10:00:00Z,578
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549036,2024-07-27T17:00:00Z,2024-08-17T23:00:00Z,399
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412420003,2024-07-21T20:00:00Z,2024-07-27T16:00:00Z,140
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549371,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,737
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412421011,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,654
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440486,2024-07-18T01:00:00Z,2024-08-17T22:00:00Z,475
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412420872,2024-07-30T00:00:00Z,2024-08-17T23:00:00Z,373
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416002938,2024-07-18T01:00:00Z,2024-07-30T19:00:00Z,250
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431864000,2024-08-04T21:00:00Z,2024-08-05T19:00:00Z,23
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431200130,2024-07-19T16:00:00Z,2024-07-28T23:00:00Z,89
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416234600,2024-08-17T01:00:00Z,2024-08-17T23:00:00Z,12
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416250700,2024-08-12T14:00:00Z,2024-08-17T23:00:00Z,31
