DFO_VOI,ssvid,imo,vessel_id,shipname,callsign,vessel_flag_best,vessel_class_best,geartype_best,trip_id,trip_start,start_port_iso3,start_port_label,trip_start_confidence,trip_duration_days,num_encounters,num_loitering,num_fishing
FALSE,412422734,,77a132fa6-6d1a-7898-1237-704177941723,JINHAI825,BZV3U,CHN,fishing,squid_jigger,412422734-77a132fa6-6d1a-7898-1237-704177941723-018fc8da2678,2024-05-30 09:34:51.000000 UTC,KOR,BUSAN,4,7.58,0,7,3
FALSE,412439598,8782989,f9d099880-0201-6607-8047-3a1e30cbcf53,OU YA 28,BZ7VZ,CHN,fishing,squid_jigger,412439598-f9d099880-0201-6607-8047-3a1e30cbcf53-018fb8faa4a8,2024-05-27 07:36:25.000000 UTC,KOR,BUSAN,4,10.67,1,4,3
FALSE,412439599,,82fa17e45-57e3-9051-e057-933917884e64,OUYATWENTYSEVEN,BZ6VZ,CHN,fishing,squid_jigger,412439599-82fa17e45-57e3-9051-e057-933917884e64-018fbc7befb0,2024-05-27 23:56:30.000000 UTC,KOR,BUSAN,4,10,1,14,7
FALSE,412439601,8782965,880aebb40-08ff-5175-6a20-66eb8ab41110,OUYA19,BZ5VZ,CHN,fishing,squid_jigger,412439601-880aebb40-08ff-5175-6a20-66eb8ab41110-018c9aa2f0f8,2023-12-24 07:03:39.000000 UTC,KOR,BUSAN,4,165.67,3,123,106
FALSE,412439602,,53df54126-6deb-afff-7f74-962319765955,OUYA1,BZ4VZ,CHN,fishing,squid_jigger,412439602-53df54126-6deb-afff-7f74-962319765955-018c8aeb0fb0,2023-12-21 05:48:30.000000 UTC,KOR,BUSAN,4,168.75,1,110,96
FALSE,412439604,8996176,e7d8bfe49-9c1f-f0dd-6928-51ab11257595,FENG XIANG 818,BZU8K,CHN,fishing,tuna_purse_seines,412439604-e7d8bfe49-9c1f-f0dd-6928-51ab11257595-019020389ee0,2024-06-16 08:45:00.000000 UTC,CHN,NINGBO,4,-9.33,0,0,0
FALSE,412439617,9789221,6c1bac091-1093-4e9c-79be-10ae8114690a,YONG FA NO.5,BZV5Y,CHN,fishing,fishing,412439617-6c1bac091-1093-4e9c-79be-10ae8114690a-018fb3f63ff8,2024-05-26 08:13:31.000000 UTC,KOR,BUSAN,4,11.63,0,10,21
FALSE,412439761,9807449,abb3fd18f-fdec-2b95-afbc-f554eb3ac664,YONG FA 6,BZW3B,CHN,fishing,squid_jigger,412439761-abb3fd18f-fdec-2b95-afbc-f554eb3ac664-018fb3f09aa8,2024-05-26 08:07:21.000000 UTC,KOR,BUSAN,4,11.63,0,14,8
FALSE,412440241,,08fafdf59-9c44-d992-a56b-78856f72f38f,FUYUANYU658,BVKQ8,CHN,fishing,fishing,412440241-08fafdf59-9c44-d992-a56b-78856f72f38f-018e7e19b9d8,2024-03-27 04:09:59.000000 UTC,KOR,BUSAN,4,71.79,4,141,148
FALSE,412440242,,5fdb48d70-098e-1453-a586-e71d0e355ab4,FUYUANYU659,BVKR8,CHN,fishing,fishing,412440242-5fdb48d70-098e-1453-a586-e71d0e355ab4-018e7fdcab40,2024-03-27 12:22:32.000000 UTC,KOR,BUSAN,4,71.46,2,122,120
FALSE,412440243,,475351415-52b9-41e4-6ef5-2c086ba727b9,FU YUAN YU601,BZU9E,CHN,fishing,fishing,412440243-475351415-52b9-41e4-6ef5-2c086ba727b9-018ef98f35c0,2024-04-20 03:31:36.000000 UTC,KOR,BUSAN,4,47.83,0,97,87
FALSE,412440244,,66bf0e2c2-2e2a-9739-c14b-bcae5af3be4e,FUYUANYU602,BZU1F,CHN,fishing,fishing,412440244-66bf0e2c2-2e2a-9739-c14b-bcae5af3be4e-018f0f2787c0,2024-04-24 08:10:00.000000 UTC,KOR,BUSAN,4,43.63,0,91,85
FALSE,412440245,,2be81bbb9-9450-371f-3b17-99a4b3e55b2f,FU YUAN YU 603,BZU2F,CHN,fishing,fishing,412440245-2be81bbb9-9450-371f-3b17-99a4b3e55b2f-0190222a7c00,2024-06-16 17:48:48.000000 UTC,KOR,BUSAN,3,-9.71,0,0,0
FALSE,412440246,,be8fb25b1-18ce-42a4-e6e3-3677b99109ce,FU YUAN YU 605,BZU3F,CHN,fishing,fishing,412440246-be8fb25b1-18ce-42a4-e6e3-3677b99109ce-018ef03234f0,2024-04-18 07:53:26.000000 UTC,KOR,BUSAN,4,49.67,0,53,12
FALSE,412440247,,6c0bc52ba-a0b7-097e-3404-ae8c4d5c6e65,FUYUANYU606,BZU4F,CHN,fishing,fishing,412440247-6c0bc52ba-a0b7-097e-3404-ae8c4d5c6e65-018efa4cffb0,2024-04-20 06:58:54.000000 UTC,KOR,BUSAN,4,47.71,0,87,67
FALSE,412440248,,9cc54831d-df4e-ed0f-1e6c-2d8780fd8d8d,FU YUAN YU 607,BZU5F,CHN,fishing,fishing,412440248-9cc54831d-df4e-ed0f-1e6c-2d8780fd8d8d-018f10c95c98,2024-04-24 15:46:23.000000 UTC,KOR,BUSAN,4,43.33,0,78,79
FALSE,412440249,,bcc78e717-7a8a-6ef6-7fc0-60bfeb354117,FU YUAN YU 608,BZU6F,CHN,fishing,fishing,412440249-bcc78e717-7a8a-6ef6-7fc0-60bfeb354117-018eef9d9de0,2024-04-18 05:11:08.000000 UTC,KOR,BUSAN,4,49.75,0,76,36
FALSE,412440251,,25e7e8e70-0863-6af1-8498-664429b65a01,FU YUAN YU609,BZU7F,CHN,fishing,fishing,412440251-25e7e8e70-0863-6af1-8498-664429b65a01-018f100adb10,2024-04-24 12:18:18.000000 UTC,KOR,BUSAN,4,43.46,0,73,56
FALSE,412440252,,38a823021-1c59-894f-6eda-98423873b493,FUYUANYULENG15,BZU3K,CHN,carrier,carrier,412440252-38a823021-1c59-894f-6eda-98423873b493-018f70941cd0,2024-05-13 06:11:46.000000 UTC,KOR,BUSAN,4,24.71,0,23,30
FALSE,412440254,,1d85a4d52-279f-e1a7-0624-335247affe76,FUYUANYULENG19,BZU5K,CHN,carrier,carrier,412440254-1d85a4d52-279f-e1a7-0624-335247affe76-019020bdd470,2024-06-16 11:10:30.000000 UTC,CHN,TAIZHOU,3,-9.46,0,0,0
FALSE,412440365,,8be866c06-6e6e-0ba1-bbcd-ceec5ad3dfcd,FUYUANYU678,,CHN,fishing,fishing,412440365-8be866c06-6e6e-0ba1-bbcd-ceec5ad3dfcd-018fed4a8cc8,2024-06-06 11:23:57.000000 UTC,CHN,QUANZHOU,4,0.5,0,10,0
FALSE,412440366,8548577,545cc2d7a-a5ca-3ab1-5478-233a979a7231,FUYUANYU677,BVKZ5,CHN,fishing,fishing,412440366-545cc2d7a-a5ca-3ab1-5478-233a979a7231-018aa32effe8,2023-09-17 12:48:01.000000 UTC,MYS,TANJUNG PELEPAS,4,263.46,2,57,64
FALSE,412440367,,eef922449-9ff7-e334-b6aa-e41d3a0cd406,FUYUANYU676,BVKY5,CHN,fishing,fishing,412440367-eef922449-9ff7-e334-b6aa-e41d3a0cd406-018823a08370,2023-05-16 08:15:02.000000 UTC,CHN,CHN-2051,4,387.63,0,8,8
FALSE,412440369,8548541,bf89e7457-768d-6bb7-bb44-32c8313725cd,FU YUAN YU 673,BVKW5,CHN,fishing,fishing,412440369-bf89e7457-768d-6bb7-bb44-32c8313725cd-018fb91773a8,2024-05-27 08:07:53.000000 UTC,CHN,QUANZHOU,3,10.63,0,17,20
FALSE,412440423,,dfbca3368-8926-3a4d-a28c-77d49a7c00f8,FUYUANYU079,BZU7V,CHN,fishing,fishing,412440423-dfbca3368-8926-3a4d-a28c-77d49a7c00f8-018e31627580,2024-03-12 06:38:40.000000 UTC,CHN,QUANZHOU,4,86.71,1,67,47
